CODGEO,P22_POP,SUPERF,NAIS23,DECES23,P22_LOG,P22_LOGVAC,MED21,P22_CHOM1564,P22_ACT1564,P22_POPH,P22_POPF,C22_POP15P_STAT_GSEC32
01061,1117.0,6.9,8.0,7.0,529.000678,22.422597,25110.0,44.580115,532.797085,543.437984,573.562016,302.376845
01062,1003.0,7.7,11.0,5.0,430.39165,23.307965,28710.0,34.109898,511.139374,501.551913,501.448087,215.343254
01063,591.0,4.5,3.0,6.0,286.0,24.0,25400.0,22.0,269.0,279.0,312.0,168.79646
01064,1102.0,12.3,13.0,5.0,556.669303,35.625554,23440.0,43.255414,593.838273,544.825636,557.174364,241.631376
01065,1884.0,10.2,14.0,12.0,848.40534,26.681415,26810.0,52.310378,923.534481,939.487312,944.512688,431.136783
01066,97.0,10.8,1.0,1.0,97.232762,0.0,,5.449438,38.146067,51.224719,45.775281,12.125
01067,263.0,10.0,0.0,1.0,130.911911,12.088889,25900.0,9.322812,156.322321,129.615464,133.384536,37.019158
01068,755.0,12.3,9.0,14.0,455.259105,68.752244,21410.0,40.48636,371.212647,374.07114,380.92886,220.753493
01069,1518.0,15.9,14.0,11.0,707.823285,19.582015,25570.0,48.185871,778.628012,760.020625,757.979375,330.63053
01071,5570.0,6.4,57.0,13.0,2551.152226,133.448631,42540.0,220.176499,3147.955694,2689.141011,2880.858989,481.095733
01072,3306.0,9.4,20.0,33.0,1544.191632,99.227163,25320.0,90.071499,1530.764654,1593.364252,1712.635748,895.185224
01073,1028.0,19.7,8.0,8.0,599.351928,43.48247,25250.0,26.135057,452.905706,515.80953,512.19047,323.854985
01074,2544.0,32.9,26.0,25.0,1200.0,76.0,23720.0,88.0,1266.0,1254.0,1290.0,538.803681
01075,1436.0,17.0,20.0,4.0,614.271123,27.260871,24890.0,51.254649,787.418039,735.521484,700.478516,170.458103
01076,127.0,4.6,0.0,1.0,147.775194,17.761194,21070.0,5.906977,49.224806,61.03876,65.96124,49.892857
01077,185.0,7.7,0.0,1.0,137.0,24.0,24620.0,7.0,82.0,95.0,90.0,61.666667
01078,1628.0,8.7,6.0,18.0,767.412702,49.302326,44460.0,53.128614,817.030763,784.099032,843.900968,312.518813
01079,826.0,18.2,8.0,19.0,439.577396,57.233768,22770.0,21.460849,305.575011,386.161044,439.838956,333.712106
01080,655.0,31.5,3.0,6.0,414.439035,22.882734,23720.0,21.67276,308.281638,328.125191,326.874809,175.757171
01081,709.0,32.4,8.0,4.0,458.108072,46.406662,27400.0,32.784491,361.711819,370.800895,338.199105,205.027438
01082,595.0,18.1,5.0,1.0,293.936665,27.28354,27880.0,9.35945,257.297146,284.874526,310.125474,90.294814
01083,1041.0,12.6,14.0,5.0,441.0,21.0,25580.0,31.0,572.0,536.0,505.0,170.0
01084,943.0,13.4,10.0,4.0,388.885437,18.324742,24050.0,26.767993,458.570182,488.563902,454.436098,163.865773
01085,391.0,13.4,4.0,3.0,180.0,21.0,26330.0,5.0,212.0,197.0,194.0,55.857143
01087,280.0,18.3,2.0,3.0,178.33317,27.391223,27320.0,10.069655,132.912353,143.020082,136.979918,78.932881
01088,925.0,6.6,11.0,5.0,426.538228,15.94128,28140.0,24.611223,511.691094,478.771702,446.228298,153.141711
01089,2408.0,16.1,30.0,17.0,985.918241,37.586085,25170.0,81.30787,1211.811093,1185.134655,1222.865345,478.399375
01090,358.0,14.9,0.0,1.0,171.944903,8.144578,24090.0,12.053372,158.68221,175.952216,182.047784,121.443051
01092,1675.0,14.0,15.0,9.0,764.747557,47.280101,25470.0,49.025446,827.433609,830.890157,844.109843,326.144569
01093,5154.0,18.0,31.0,87.0,2793.958975,262.478059,23430.0,201.580224,2280.312965,2419.23381,2734.76619,1606.882585
01094,746.0,16.6,5.0,4.0,389.617118,37.766431,23460.0,27.792628,391.694535,388.957343,357.042657,171.733147
01095,822.0,31.0,6.0,2.0,487.0,60.0,23260.0,31.0,399.0,410.0,412.0,170.414634
01096,1057.0,16.9,15.0,3.0,462.40533,21.520861,23940.0,28.909303,531.059183,537.123437,519.876563,229.245727
01098,1165.0,15.4,9.0,10.0,582.240671,62.577577,22520.0,41.504747,519.399479,578.304843,586.695157,259.540765
01099,1613.0,21.9,7.0,11.0,778.72994,31.888021,26780.0,56.122908,852.251866,808.260999,804.739001,297.710851
01100,130.0,6.3,0.0,3.0,118.810115,18.15,21090.0,8.931298,49.618321,67.480916,62.519084,39.565217
01101,149.0,6.7,2.0,0.0,93.388158,13.865385,26800.0,0.0,87.243421,76.460526,72.539474,19.866667
01102,981.0,17.2,7.0,6.0,432.769739,17.923136,23750.0,25.613272,520.008031,523.677333,457.322667,156.722529
01103,2301.0,5.8,28.0,7.0,1026.320432,78.958393,44010.0,90.243982,1308.263405,1151.842418,1149.157582,225.650004
01104,436.0,46.6,3.0,0.0,396.0,60.0,25230.0,12.0,230.0,216.0,220.0,78.16092
01105,1986.0,19.8,28.0,8.0,818.068445,34.723139,28920.0,59.707092,1082.502141,991.332098,994.667902,309.557806
01106,175.0,4.5,1.0,4.0,96.189944,3.0,23440.0,7.821229,76.256983,88.96648,86.03352,38.888889
01107,144.0,7.8,1.0,0.0,102.0,11.0,22370.0,4.0,66.0,79.0,65.0,34.758621
01108,1294.0,16.9,14.0,40.0,719.548422,80.35969,23750.0,37.084077,542.496558,631.310895,662.689105,357.34637
01109,2260.0,16.2,18.0,6.0,1078.42737,102.281581,33820.0,121.819997,1256.121247,1109.968952,1150.031048,214.578063
01110,164.0,6.0,3.0,1.0,92.641026,3.0,20800.0,9.461538,75.692308,78.846154,85.153846,41.0
01111,136.0,15.3,3.0,0.0,114.149198,6.157542,21730.0,2.060606,63.878788,77.272727,58.727273,26.153846
01112,477.0,4.6,5.0,1.0,199.116328,5.07525,25520.0,15.365431,272.533999,246.060857,230.939143,41.332015
01113,815.0,21.6,13.0,8.0,390.806289,34.172836,23170.0,36.885183,427.188195,397.896647,417.103353,169.037517
01114,676.0,11.7,3.0,21.0,286.731847,13.550096,30140.0,30.379913,286.928197,327.759521,348.240479,200.138389
01115,1357.0,18.2,16.0,5.0,633.0,31.0,24350.0,35.0,744.0,691.0,666.0,255.376384
01116,489.0,14.2,1.0,2.0,315.720391,31.192028,23210.0,22.939102,206.029589,242.83595,246.16405,192.836081
01117,148.0,7.2,3.0,2.0,84.847682,5.0,22900.0,6.860927,68.609272,72.529801,75.470199,32.375
01118,1315.0,31.6,15.0,28.0,708.506117,73.056323,27120.0,28.494386,624.37677,672.166098,642.833902,278.943848
01121,116.0,5.5,2.0,0.0,66.092754,2.777778,24470.0,8.069565,65.565217,66.573913,49.426087,35.304348
01123,1165.0,9.8,10.0,10.0,516.0,30.0,25480.0,34.0,563.0,593.0,572.0,241.885593
01124,704.0,19.6,5.0,7.0,393.777281,38.36983,23440.0,33.054007,348.008241,358.189894,345.810106,155.709584
01125,587.0,22.7,9.0,5.0,369.780682,49.0,24010.0,32.342371,282.839561,298.542458,288.457542,120.034553
01127,513.0,14.8,4.0,1.0,287.511281,10.557709,24080.0,23.217417,242.818757,263.671064,249.328936,141.050419
01128,293.0,9.1,3.0,1.0,156.145856,16.0,22520.0,19.383759,140.151313,145.442357,147.557643,67.838256
01129,316.0,13.2,7.0,2.0,137.026437,8.180451,26820.0,9.264326,137.904433,154.119378,161.880622,87.098695
01130,2393.0,26.0,25.0,9.0,1016.0,46.0,24120.0,65.0,1231.0,1183.0,1210.0,501.677149
01133,384.0,7.9,3.0,3.0,219.212509,17.0,23660.0,17.294756,186.63066,188.588341,195.411659,76.543961
01134,1844.0,12.1,15.0,5.0,795.0,18.0,24310.0,60.0,903.0,905.0,939.0,441.543175
01135,2354.0,27.5,18.0,5.0,1063.266201,51.350311,44040.0,85.726788,1297.585092,1211.482493,1142.517507,308.164865
01136,951.0,11.8,7.0,4.0,418.948189,33.137965,25850.0,39.414257,476.742978,482.557057,468.442943,207.076997
01138,3416.0,29.7,29.0,28.0,1857.082184,193.976207,21730.0,193.503202,1530.25326,1687.972535,1728.027465,962.241674
01139,462.0,23.9,1.0,3.0,273.847909,37.272179,19790.0,14.768611,193.081262,228.756594,233.243406,140.893756
01140,805.0,12.4,9.0,8.0,330.226155,7.859265,26220.0,25.210997,391.190792,415.070092,389.929908,203.998247
01141,423.0,4.9,1.0,4.0,214.0,16.0,25670.0,18.0,193.0,207.0,216.0,102.103448
01142,4741.0,6.7,53.0,24.0,2040.0,136.0,25320.0,190.0,2367.0,2345.0,2396.0,884.812102
01143,10300.0,33.9,76.0,60.0,6564.819361,586.804058,46650.0,395.012831,5187.281909,4812.915683,5487.084317,1860.942855
